status,mes,dia
Released,10,30
Released,12,15
Released,12,22
Released,12,22
Released,12,15
Released,12,15
Released,12,22
Released,12,22
Released,11,16
Released,11,17
Released,12,22
Released,12,22
Released,12,22
Released,12,22
Released,11,22
Released,12,13
Released,12,9
Released,11,10
Released,11,21
Released,10,20
Released,10,27
Released,10,6
Released,10,27
Released,10,27
Released,12,15
Released,10,20
Released,9,27
Released,5,16
Released,4,30
Released,8,11
Released,12,29
Released,7,18
Released,11,8
Released,12,29
Released,10,20
Released,11,17
Released,7,19
Released,12,15
Released,12,29
Released,10,6
Released,12,29
Released,8,18
Released,5,20
Released,10,6
Released,9,22
Released,6,14
Released,5,5
Released,7,19
Released,11,22
Released,9,13
Released,1,1
Released,9,29
Released,5,19
Released,7,8
Released,11,2
Released,9,22
Released,9,29
Released,7,14
Released,1,12
Released,12,29
Released,1,12
Released,1,12
Released,1,12
Released,1,12
Released,10,22
Released,2,8
Released,4,26
Released,1,19
Released,11,3
Released,10,6
Released,3,22
Released,1,26
Released,1,26
Released,9,8
Released,2,18
Released,11,15
Released,2,2
Released,1,1
Released,12,1
Released,9,12
Released,1,26
Released,11,22
Released,9,10
Released,2,2
Released,1,12
Released,2,1
Released,11,22
Released,9,14
Released,2,23
Released,10,26
Released,2,9
Released,2,9
Released,12,1
Released,5,31
Released,12,6
Released,12,27
Released,2,16
Released,2,21
Released,2,16
Released,2,23
Released,2,16
Released,5,28
Released,11,7
Released,2,16
Released,12,8
Released,5,20
Released,5,24
Released,2,7
Released,1,30
Released,2,23
Released,9,13
Released,1,31
Released,6,8
Released,1,20
Released,3,8
Released,9,29
Released,3,22
Released,12,6
Released,6,30
Released,7,14
Released,9,21
Released,3,22
Released,10,26
Released,9,30
Released,1,1
Released,2,9
Released,1,1
Released,11,22
Released,10,13
Released,8,16
Released,8,1
Released,3,1
Released,9,8
Released,9,15
Released,8,23
Released,8,1
Released,3,1
Released,3,8
Released,10,12
Released,8,9
Released,4,7
Released,8,25
Released,4,21
Released,7,21
Released,8,5
Released,6,30
Released,4,13
Released,1,10
Released,6,16
Released,5,24
Released,5,24
Released,9,15
Released,6,8
Released,5,26
Released,9,15
Released,6,9
Released,5,12
Released,9,10
Released,8,25
Released,9,15
Released,5,19
Released,10,27
Released,10,12
Released,7,7
Released,7,19
Released,9,14
Released,8,18
Released,5,26
Released,6,30
Released,4,12
Released,7,28
Released,1,20
Released,8,25
Released,5,20
Released,5,26
Released,10,20
Released,6,30
Released,9,29
Released,9,28
Released,9,13
Released,7,28
Released,7,12
Released,6,9
Released,9,1
Released,11,17
Released,6,23
Released,10,13
Released,9,22
Released,6,9
Released,8,4
Released,7,7
Released,9,15
Released,10,13
Released,2,19
Released,9,8
Released,10,27
Released,11,2
Released,9,7
Released,7,13
Released,9,15
Released,8,11
Released,8,11
Released,7,28
Released,12,1
Released,12,1
Released,10,12
Released,8,4
Released,5,1
Released,6,9
Released,1,27
Released,2,10
Released,10,17
Released,2,3
Released,4,21
Released,8,4
Released,3,16
Released,9,13
Released,10,1
Released,12,9
Released,1,1
Released,12,8
Released,4,28
Released,5,4
Released,3,24
Released,12,16
Released,8,3
Released,9,24
Released,10,14
Released,9,27
Released,5,5
Released,5,19
Released,1,13
Released,4,7
Released,3,3
Released,6,2
Released,12,7
Released,5,12
Released,12,1
Released,9,16
Released,9,12
Released,9,2
Released,1,6
Released,12,16
Released,2,17
Released,2,24
Released,12,24
Released,11,11
Released,3,31
Released,2,3
Released,11,22
Released,2,17
Released,8,11
Released,4,21
Released,5,25
Released,12,21
Released,5,10
Released,2,18
Released,2,16
Released,4,16
Released,12,16
Released,3,24
Released,10,27
Released,6,8
Released,10,21
Released,3,17
Released,12,28
Released,11,4
Released,3,3
Released,12,21
Released,8,31
Released,11,18
Released,1,27
Released,5,3
Released,1,20
Released,12,23
Released,12,23
Released,4,19
Released,8,14
Released,4,22
Released,9,26
Released,3,3
Released,8,25
Released,9,17
Released,9,2
Released,1,16
Released,3,10
Released,9,14
Released,5,12
Released,4,28
Released,9,10
Released,11,10
Released,2,1
Released,1,1
Released,9,16
Released,5,5
Released,5,13
Released,2,9
Released,12,23
Released,5,27
Released,1,10
Released,1,26
Released,10,14
Released,1,1
Released,10,3
Released,4,12
Released,11,18
Released,1,1
Released,10,7
Released,10,27
Released,11,10
Released,9,23
Released,12,22
Released,9,14
Released,1,1
Released,9,10
Released,7,12
Released,9,8
Released,6,30
Released,3,31
Released,1,13
Released,11,17
Released,5,24
Released,4,15
Released,4,28
Released,3,31
Released,9,13
Released,4,28
Released,2,24
Released,12,17
Released,8,4
Released,4,21
Released,11,4
Released,9,7
Released,9,29
Released,8,18
Released,2,4
Released,5,31
Released,4,1
Released,9,2
Released,10,14
Released,8,3
Released,7,20
Released,8,12
Released,5,13
Released,5,11
Released,12,2
Released,5,26
Released,7,6
Released,3,9
Released,1,11
Released,10,14
Released,6,29
Released,7,29
Released,12,23
Released,9,11
Released,6,23
Released,12,1
Released,10,13
Released,7,29
Released,5,20
Released,9,7
Released,3,18
Released,3,18
Released,2,18
Released,7,8
Released,12,19
Released,12,1
Released,9,30
Released,6,9
Released,12,16
Released,9,15
Released,7,14
Released,4,29
Released,6,17
Released,6,24
Released,1,20
Released,12,22
Released,9,15
Released,11,23
Released,9,30
Released,1,1
Released,8,6
Released,9,28
Released,12,10
Released,12,22
Released,9,15
Released,12,31
Released,5,13
Released,1,20
Released,10,20
Released,10,24
Released,5,3
Released,11,21
Released,5,3
Released,5,26
Released,3,1
Released,11,29
Released,2,24
Released,12,12
Released,2,25
Released,3,23
Released,11,19
Released,4,27
Released,9,17
Released,8,5
Released,1,7
Released,7,22
Released,4,22
Released,7,29
Released,5,6
Released,10,15
Released,5,24
Released,7,29
Released,1,26
Released,7,1
Released,2,18
Released,9,16
Released,6,9
Released,6,18
Released,9,14
Released,1,7
Released,9,3
Released,11,10
Released,6,10
Released,5,6
Released,5,28
Released,7,23
Released,8,19
Released,4,15
Released,6,3
Released,11,19
Released,5,7
Released,9,24
Released,10,8
Released,6,3
Released,5,13
Released,10,29
Released,9,16
Released,4,29
Released,10,15
Released,10,28
Released,4,29
Released,11,5
Released,5,13
Released,10,1
Released,6,30
Released,7,16
Released,8,24
Released,8,6
Released,12,10
Released,2,11
Released,6,17
Released,6,10
Released,7,14
Released,6,4
Released,8,20
Released,12,24
Released,5,21
Released,12,8
Released,5,12
Released,10,19
Released,1,1
Released,3,11
Released,2,4
Released,8,12
Released,7,8
Released,12,12
Released,4,22
Released,6,9
Released,3,30
Released,10,15
Released,6,11
Released,9,1
Released,10,1
Released,8,20
Released,7,22
Released,6,18
Released,6,4
Released,3,11
Released,9,9
Released,5,27
Released,9,29
Released,8,25
Released,8,18
Released,5,26
Released,3,15
Released,5,15
Released,9,9
Released,5,7
Released,10,8
Released,10,15
Released,11,24
Released,9,14
Released,7,18
Released,9,16
Released,4,29
