popularidad,titulos
0.1556999763701862,toy story
0.12071283938626964,jumanji
0.0830918784856299,grumpier old men
0.027373840270716817,waiting to exhale
0.12716473067879605,heat
0.04736533251609245,sabrina
0.01816246973427804,tom and huck
0.03710845658862084,sudden death
0.10418557036401054,goldeneye
0.044819504930639555,the american president
0.03851854760178674,dracula: dead and loving it
0.08612725173374343,balto
0.03611816972909461,nixon
0.05167327191360158,cutthroat island
0.07191400314289438,casino
0.07571522045929531,sense and sensibility
0.06403312039162405,four rooms
0.05820734183267832,ace ventura: when nature calls
0.05205233794467786,money train
0.08987949390906892,get shorty
0.07591837187021144,copycat
0.07850184426205957,assassins
0.08607305484794373,powder
0.0732948992110327,leaving las vegas
0.013087856181344613,othello
0.06158357581928643,now and then
0.015801850907013516,persuasion
0.06967939438091174,the city of lost children
0.007802372116598327,shanghai triad
0.06725947753407477,dangerous minds
0.08723809278668611,twelve monkeys
0.10219001250792327,babe
0.01058668302699831,carrington
0.04888389534323813,dead man walking
0.0008037726651567974,across the sea of time
0.055172819955987225,it takes two
0.07010479630165391,clueless
0.006338949778578869,"cry, the beloved country"
0.03235359685766754,richard iii
0.07008483873655971,dead presidents
0.0778869412522076,restoration
0.07711268279636181,mortal kombat
0.07412112679745615,to die for
0.03181844606581195,how to make an american quilt
0.1309427126501264,se7en
0.09421056932498266,pocahontas
0.023422263666352423,when night is falling
0.11565375626703374,the usual suspects
0.0042197586024306745,guardian angel
0.11279221177909542,mighty aphrodite
0.00964964235518339,lamerica
0.04243792817685948,the big green
0.029033645616844066,georgia
0.0021702663667322987,kids of the round table
0.05970684812948521,home for the holidays
0.07213428130892512,the postman
0.0008486115600715828,the confessional
0.07571613568357444,the indian in the cupboard
0.033574882068385305,eye for an eye
0.050627787806854306,mr. holland's opus
0.08300117195533156,don't be a menace to south central while drinking your juice in the hood
0.015419109789297069,two if by sea
0.04530921377282281,bio-dome
0.017695556361930428,lawnmower man 2: beyond cyberspace
0.02869852454068902,two bits
0.017856614550769118,french twist
0.10335983941091682,friday
0.10881927994155166,from dusk till dawn
0.041937456580944305,fair game
0.023881663685897076,kicking and screaming
0.010487959415805392,les miserables
0.07386367917407438,bed of roses
0.020825006152222745,big bully
0.09051263045688467,screamers
0.0009415813194012266,nico icon
0.04083236937986489,the crossing guard
0.042635268977817505,the juror
0.008478793806482908,the white balloon
0.031820014008181595,things to do in denver when you're dead
0.01439524342191773,antonia's line
0.0017815585542969717,once upon a time... when we were colored
0.003760088981935588,last summer in the hamptons
0.015257157660464822,angels and insects
0.0678786090219915,white squall
0.03415167911232156,dunston checks in
0.0635822553705893,black sheep
0.04858076454828099,nick of time
0.0029105976713941577,the journey of august king
0.09127383455091982,mary reilly
0.06434912817934549,vampire in brooklyn
0.033128167483034904,beautiful girls
0.10611243673583119,broken arrow
0.003634029253320729,a midwinter's tale
0.08589640946731267,la haine
0.018847014926485002,shopping
0.004519597427887741,heidi fleiss: hollywood madam
0.034097744732710454,city hall
0.048979773954927745,bottle rocket
0.02361197759831783,mr. wrong
0.01747615085160768,unforgettable
0.06804647818220964,happy gilmore
