title,popularity,popularity_norm
Toy Story,21.946943,0.1556999763701862
Jumanji,17.015539,0.12071283938626964
Grumpier Old Men,11.7129,0.0830918784856299
Waiting to Exhale,3.859495,0.027373840270716817
Heat,17.924927,0.12716473067879605
Sabrina,6.677277,0.04736533251609245
Tom and Huck,2.561161,0.01816246973427804
Sudden Death,5.23158,0.03710845658862084
GoldenEye,14.686036,0.10418557036401054
The American President,6.318445,0.044819504930639555
Dracula: Dead and Loving It,5.430331,0.03851854760178674
Balto,12.140733,0.08612725173374343
Nixon,5.092,0.03611816972909461
Cutthroat Island,7.284477,0.05167327191360158
Casino,10.137389,0.07191400314289438
Sense and Sensibility,10.673167,0.07571522045929531
Four Rooms,9.026586,0.06403312039162405
Ace Ventura: When Nature Calls,8.205448,0.05820734183267832
Money Train,7.337906,0.05205233794467786
Get Shorty,12.669608,0.08987949390906892
Copycat,10.701801,0.07591837187021144
Assassins,11.065939,0.07850184426205957
Powder,12.133094,0.08607305484794373
Leaving Las Vegas,10.332025,0.0732948992110327
Othello,1.845899,0.013087856181344613
Now and Then,8.681325,0.06158357581928643
Persuasion,2.228434,0.015801850907013516
The City of Lost Children,9.822423,0.06967939438091174
Shanghai Triad,1.100915,0.007802372116598327
Dangerous Minds,9.481338,0.06725947753407477
Twelve Monkeys,12.297305,0.08723809278668611
Wings of Courage,0.745542,0.005281085312397051
Babe,14.404764,0.10219001250792327
Carrington,1.493361,0.01058668302699831
Dead Man Walking,6.891317,0.04888389534323813
Across the Sea of Time,0.114469,0.0008037726651567974
It Takes Two,7.777735,0.055172819955987225
Clueless,9.882383,0.07010479630165391
"Cry, the Beloved Country",0.894647,0.006338949778578869
Richard III,4.561387,0.03235359685766754
Dead Presidents,9.87957,0.07008483873655971
Restoration,10.979269,0.0778869412522076
Mortal Kombat,10.870138,0.07711268279636181
To Die For,10.448481,0.07412112679745615
How To Make An American Quilt,4.485958,0.03181844606581195
Se7en,18.45743,0.1309427126501264
Pocahontas,13.280069,0.09421056932498266
When Night Is Falling,3.302524,0.023422263666352423
The Usual Suspects,16.302466,0.11565375626703374
Guardian Angel,0.595949,0.0042197586024306745
Mighty Aphrodite,15.899134,0.11279221177909542
Lamerica,1.361286,0.00964964235518339
The Big Green,5.982764,0.04243792817685948
Georgia,4.093443,0.029033645616844066
Kids of the Round Table,0.307075,0.0021702663667322987
Home for the Holidays,8.416802,0.05970684812948521
The Postman,10.168437,0.07213428130892512
The Confessional,0.120789,0.0008486115600715828
The Indian in the Cupboard,10.673296,0.07571613568357444
Eye for an Eye,4.733526,0.033574882068385305
Mr. Holland's Opus,7.137117,0.050627787806854306
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,0.08300117195533156
Two If by Sea,2.174487,0.015419109789297069
Bio-Dome,6.387469,0.04530921377282281
Lawnmower Man 2: Beyond Cyberspace,2.49535,0.017695556361930428
Two Bits,4.046208,0.02869852454068902
French Twist,2.518051,0.017856614550769118
Friday,14.56965,0.10335983941091682
From Dusk Till Dawn,15.339153,0.10881927994155166
Fair Game,5.912223,0.041937456580944305
Kicking and Screaming,3.367276,0.023881663685897076
Les Miserables,1.479446,0.010487959415805392
Bed of Roses,10.412194,0.07386367917407438
Big Bully,2.936443,0.020825006152222745
Screamers,12.758848,0.09051263045688467
Nico Icon,0.133893,0.0009415813194012266
The Crossing Guard,5.756462,0.04083236937986489
The Juror,6.010579,0.042635268977817505
The White Balloon,1.196256,0.008478793806482908
Things to Do in Denver When You're Dead,4.486179,0.031820014008181595
Antonia's Line,2.030174,0.01439524342191773
Once Upon a Time... When We Were Colored,0.252287,0.0017815585542969717
Last Summer in the Hamptons,0.531159,0.003760088981935588
Angels and Insects,2.15166,0.015257157660464822
White Squall,9.568604,0.0678786090219915
Dunston Checks In,4.814825,0.03415167911232156
Black Sheep,8.963037,0.0635822553705893
Nick of Time,6.848591,0.04858076454828099
The Journey of August King,0.411424,0.0029105976713941577
Mary Reilly,12.866139,0.09127383455091982
Vampire in Brooklyn,9.071127,0.06434912817934549
Beautiful Girls,4.670562,0.033128167483034904
Broken Arrow,14.957626,0.10611243673583119
A Midwinter's Tale,0.513391,0.003634029253320729
La Haine,12.108196,0.08589640946731267
Shopping,2.657647,0.018847014926485002
Heidi Fleiss: Hollywood Madam,0.638211,0.004519597427887741
City Hall,4.807223,0.034097744732710454
Bottle Rocket,6.904831,0.048979773954927745
Mr. Wrong,3.329264,0.02361197759831783
Unforgettable,2.464425,0.01747615085160768
Happy Gilmore,9.592265,0.06804647818220964
The Bridges of Madison County,5.951077,0.04221311645800428
Nobody Loves Me,1.015068,0.007193308095751873
Muppet Treasure Island,6.902423,0.04896268976838426
Catwalk,0.976707,0.006921145936285719
Headless Body in Topless Bar,0.001346,1.1919199914056891e-06
Braveheart,20.755149,0.14724448176163052
Taxi Driver,14.092713,0.09997608497674389
Rumble in the Bronx,12.314278,0.08735851217962735
Before and After,2.938293,0.020838131461651914
Margaret's Museum,0.372697,0.0026358388290895853
Happiness Is in the Field,1.254885,0.008894752599197933
Anne Frank Remembered,0.243986,0.0017226649361501943
The Young Poisoner's Handbook,6.178497,0.0438266071987512
If Lucy Fell,2.891918,0.020509111880690968
Steal Big Steal Little,1.522412,0.010792792953607399
Race the Sun,1.317878,0.009341672932642093
The Boys of St. Vincent,0.86539,0.006131378331027938
Boomerang,6.506983,0.04615713714099459
Chungking Express,6.778979,0.048086883986127815
The Star Maker,1.702639,0.012071460598197118
Flirting with Disaster,5.579088,0.0395739430908435
The Neverending Story III: Escape from Fantasia,6.252377,0.04435076820449556
The Silences of the Palace,0.406754,0.0028774651335378206
Jupiter's Wife,0.001178,0.0
Pie in the Sky,0.699066,0.004951349160488891
Angela,2.197439,0.015581948763361018
Frankie Starlight,0.637554,0.004514936169349923
Jade,11.418917,0.08100613911162147
Nueba Yol,0.291021,0.002056367059934519
Sonic Outlaws,0.001838,4.682542823379494e-06
Down Periscope,5.184977,0.03677781940195727
From the Journals of Jean Seberg,0.276401,0.00195264164163481
Man of the Year,0.540436,0.003825907087651484
The Neon Bible,0.370342,0.0026191306649243446
Target,0.001205,1.915585700473422e-07
Up Close & Personal,3.402749,0.024133336173130016
